domainID,siteID,plotID,rootNPercent,rootCPercent,rootCNratio,rootSample_n,plotType,litterNPercent,foliarNPercent,foliarCPercent,foliarCNRatio,soilNPercent_OHoriz,soilCPercent_OHoriz,soilCNRatio_OHoriz,soilNPercent_MHoriz,soilCPercent_MHoriz,soilCNRatio_MHoriz,nlcdClass,decimalLatitude,decimalLongitude,easting,northing,utmZone,elevation
D19,DEJU,DEJU_045,0.8244444444444444,47.52333333333333,53.15714285714286,9,NA,NA,0.78,51.33,66.2,0.47333333333333333,11.25,24.033333333333335,0.10333333333333333,2.0766666666666667,19.7,shrubScrub,63.880889,-145.742977,561742.28,7084349.56,6N,509.1
D19,DEJU,DEJU_046,0.6911111111111111,49.56111111111111,61.95,9,tower,0.37,0.6266666666666667,50.99333333333333,81.83333333333333,0.6133333333333333,14.99,24.433333333333334,0.18333333333333332,4.003333333333334,20.833333333333332,evergreenForest,63.877756,-145.753497,561232.43,7083990.37,6N,511.7
D19,DEJU,DEJU_047,0.7933333333333333,48.416666666666664,53.35,9,tower,0.515,1.3066666666666666,50.82333333333333,55,0.9933333333333334,37.089999999999996,37.266666666666666,0.17666666666666667,3.5366666666666666,20.233333333333334,evergreenForest,63.88224,-145.739248,561922.45,7084503.7,6N,505.2
D19,DEJU,DEJU_048,0.6366666666666667,51.23777777777778,68.92,9,tower,0.27,0.6975,51.417500000000004,73.65,0.39,16.28333333333333,41.9,0.16666666666666666,3.793333333333333,22.766666666666666,evergreenForest,63.881243,-145.753351,561232.01,7084379.01,6N,506.8
D19,DEJU,DEJU_049,0.73875,49.9825,65.07142857142857,8,tower,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,63.88086,-145.739296,561923.13,7084349.9,6N,507.3
D19,DEJU,DEJU_050,0.7566666666666667,46.50333333333333,47.08,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,63.880773,-145.757613,561023.71,7084322.56,6N,509.1
D19,DEJU,DEJU_051,0.6977777777777778,50.15,62.1,9,tower,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,63.878314,-145.756523,561082.58,7084049.63,6N,511.9
D19,DEJU,DEJU_052,0.8350000000000001,47.64125,56.41428571428571,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,63.881972,-145.742293,561773.49,7084470.89,6N,507.6
D19,DEJU,DEJU_053,0.6622222222222223,50.79555555555555,83.7625,9,tower,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,63.881614,-145.763712,560722.35,7084410.44,6N,511.4
D19,DEJU,DEJU_054,0.7675,50.0675,60.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,63.878098,-145.761422,560842.42,7084020.89,6N,514.6
