domainID,siteID,plotID,plotType,rootNPercent,rootNPercent_n,rootCPercent,rootCPercent_n,rootCNratio,rootCNratio_n,litterNPercent_mean,litterNPercent_n,litterCPercent_mean,litterCPercent_n,litterCNRatio_mean,litterCNRatio_n,foliarNPercent_mean,foliarNPercent_n,foliarCPercent_mean,foliarCPercent_n,foliarCNRatio_mean,foliarCNRatio_n,soilNPercent_OHoriz_mean,soilNPercent_OHoriz_n,soilCPercent_OHoriz_mean,soilCPercent_OHoriz_n,soilCNRatio_OHoriz_mean,soilCNRatio_OHoriz_n,soilNPercent_MHoriz_mean,soilNPercent_MHoriz_n,soilCPercent_MHoriz_mean,soilCPercent_MHoriz_n,soilCNRatio_MHoriz_mean,soilCNRatio_MHoriz_n
D03,DSNY,DSNY_046,tower,0.5333333333333333,3,47.416666666666664,3,96.73333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_047,tower,0.52,2,47.355000000000004,2,93.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_048,tower,0.82,3,47.57666666666667,3,60.266666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_049,tower,0.6066666666666667,3,47.29,3,79.23333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_050,tower,0.565,4,47.3525,4,87.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_051,tower,0.725,4,46.315,4,67.475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_052,tower,0.69,3,46.97,3,72.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_053,tower,0.59,3,48.33,3,89.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_054,tower,0.445,2,48.45,2,114.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_055,tower,0.535,2,47.144999999999996,2,90.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_056,tower,0.51,1,47.84,1,93.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_057,tower,0.54,3,46,3,88.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_058,tower,0.6,3,48.34666666666667,3,81.83333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_059,tower,0.7050000000000001,2,47.675,2,72.65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_060,tower,0.9866666666666667,3,46.67333333333333,3,49.333333333333336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_061,tower,0.7066666666666667,3,47.846666666666664,3,69.26666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_062,tower,0.52,4,50.067499999999995,4,113.05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_063,tower,0.79,4,45.235,4,62.575,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_064,tower,0.9233333333333333,3,47.443333333333335,3,53.800000000000004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_065,tower,0.86,4,46.7175,4,56.425,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_066,tower,1.15,4,46.6525,4,41.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_067,tower,0.39666666666666667,3,48.26,3,124.63333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_068,tower,0.4066666666666667,3,49.24666666666666,3,121.76666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_069,tower,0.4425,4,46.3225,4,113.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_070,tower,0.6525,4,47.9125,4,84.475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_047,tower,0.7483333333333333,6,46.615,6,67.46666666666667,3,NA,NA,NA,NA,NA,NA,1.325,2,46.120000000000005,2,35.3,2,NA,NA,NA,NA,NA,NA,0.03,3,0.72,3,22,3
D03,JERC,JERC_048,tower,0.7216666666666667,6,46.38666666666667,6,71.1,3,NA,NA,NA,NA,NA,NA,0.8,1,46.94,1,58.6,1,NA,NA,NA,NA,NA,NA,0.04,3,1.0533333333333332,3,25.433333333333334,3
D03,JERC,JERC_049,tower,0.74,6,45.736666666666665,6,60.86666666666667,3,NA,NA,NA,NA,NA,NA,1.15,2,46.165,2,44.05,2,NA,NA,NA,NA,NA,NA,0.04,3,1.1266666666666667,3,26.166666666666668,3
D03,JERC,JERC_050,tower,0.7566666666666667,6,46.458333333333336,6,61.34,5,NA,NA,NA,NA,NA,NA,1.4833333333333334,3,45.596666666666664,3,33.233333333333334,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_051,tower,0.8233333333333334,6,46.858333333333334,6,54.574999999999996,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_052,tower,0.6457142857142857,7,45.37166666666667,6,81.16666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_053,tower,0.7150000000000001,6,48.001666666666665,6,63.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_054,tower,0.7983333333333333,6,48.30833333333333,6,61.800000000000004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_055,tower,0.7633333333333333,6,47.711666666666666,6,66.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
