"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","ligninSampleID","ligninSampleBarcode","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"e4c80d1a-e4dc-447e-80ee-cca9e726b38a","2018-02-08","STEI_061.basePlot.ltr","D05","STEI","STEI_061","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI061.20171002.LVS","NEON.LTR.STEI061.20171002.LVS.LIG",NA,1,0.533,28.01,22.57,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"30d7dc81-85df-402d-8f72-94d50dcfb32a","2018-02-08","STEI_053.basePlot.ltr","D05","STEI","STEI_053","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI053.20171002.LVS","NEON.LTR.STEI053.20171002.LVS.LIG",NA,1,0.511,33.11,22.68,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"6cdc851e-ce0f-4aa2-8ac0-bf91c518397b","2018-02-08","STEI_049.basePlot.ltr","D05","STEI","STEI_049","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI049.20171002.LVS","NEON.LTR.STEI049.20171002.LVS.LIG",NA,1,0.549,37.06,20.78,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"925931d2-bd27-4c91-bab5-23d4695c62db","2018-02-08","STEI_056.basePlot.ltr","D05","STEI","STEI_056","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI056.20171002.LVS","NEON.LTR.STEI056.20171002.LVS.LIG",NA,1,0.53,34.3,26.71,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"63c89d28-3389-4b64-8c88-05305a954819","2018-02-08","STEI_051.basePlot.ltr","D05","STEI","STEI_051","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI051.20171002.LVS","NEON.LTR.STEI051.20171002.LVS.LIG",NA,1,0.526,22.8,22.37,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"99927fa8-6a0d-41c3-a303-884fe2fcfba4","2018-02-08","STEI_059.basePlot.ltr","D05","STEI","STEI_059","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI059.20171002.LVS","NEON.LTR.STEI059.20171002.LVS.LIG",NA,1,0.495,28.96,22.73,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"688da03d-06bb-4996-84b5-28c6f1b77a54","2018-02-08","STEI_052.basePlot.ltr","D05","STEI","STEI_052","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI052.20171002.LVS","NEON.LTR.STEI052.20171002.LVS.LIG",NA,1,0.535,34.21,22.37,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"683f33c9-689e-4d1b-919b-8df0b11bb86d","2018-02-08","STEI_058.basePlot.ltr","D05","STEI","STEI_058","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI058.20171002.LVS","NEON.LTR.STEI058.20171002.LVS.LIG",NA,1,0.493,34.32,22.94,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"a818228b-2446-48e6-b9e8-f45595ca4391","2018-02-08","STEI_060.basePlot.ltr","D05","STEI","STEI_060","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI060.20171002.NDL","NEON.LTR.STEI060.20171002.NDL.LIG",NA,1,0.499,30.75,22.94,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"381d8d4e-ebca-476e-b732-cb5fb3e9c780","2018-02-08","STEI_060.basePlot.ltr","D05","STEI","STEI_060","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI060.20171002.LVS","NEON.LTR.STEI060.20171002.LVS.LIG",NA,1,0.513,36.98,21.8,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
